Employee_ID,Department,Gender,Age,Hire_Date,Performance_Score,Absences_per_Month,Salary_USD,Tenure_Years,,,,,,
E-2000,Finance,Male,36,15/08/2019,3.63,14,9867.28,6.2,,,,,,
E-2001,HR,Female,23,17/06/2010,2.81,1,3073.03,15.4,,,,,,
E-2002,IT,Male,54,29/06/2014,4.49,10,14812.45,11.4,,,,,,
E-2003,Operations,Female,59,15/09/2013,2.77,14,14169.13,12.1,,,,,,
E-2004,Finance,Male,27,31/07/2012,2.43,4,6092.8,13.3,,,,,,
E-2005,HR,Male,43,06/03/2021,2.13,0,3895.18,4.7,,,,,,
E-2006,IT,Male,34,06/05/2022,4.09,8,10680.43,3.5,,,,,,
E-2007,IT,Female,39,05/01/2022,4.49,14,10850.25,3.8,,,,,,
E-2008,Sales,Male,55,24/11/2020,2.43,12,4237.22,4.9,,,,,,
E-2009,Finance,Female,27,29/03/2021,2.68,3,7679.81,4.6,,,,,,
E-2010,Operations,Male,40,19/05/2022,4.26,7,12468.25,3.5,,,,,,
E-2011,Operations,Male,48,02/03/2015,2.12,0,7573.1,10.7,,,,,,
E-2012,HR,Female,44,28/10/2014,4.2,15,11387.56,11,,,,,,
E-2013,IT,Male,54,25/08/2019,2.64,12,4505.59,6.2,,,,,,
E-2014,Finance,Female,42,04/07/2023,2.94,3,9556.83,2.3,,,,,,
E-2015,IT,Female,25,04/04/2011,4.96,6,3499.58,14.6,,,,,,
E-2016,IT,Female,59,22/04/2017,4.78,10,10773.32,8.5,,,,,,
E-2017,Marketing,Male,56,12/04/2015,4.71,15,5909.54,10.6,,,,,,
E-2018,Marketing,Female,60,16/10/2017,4.01,5,6321.13,8,,,,,,
E-2019,Marketing,Male,46,25/11/2015,3.36,14,13670.77,9.9,,,,,,
E-2020,Finance,Female,55,28/09/2015,2.88,9,10812.73,10.1,,,,,,
E-2021,Marketing,Male,50,23/12/2011,4.78,8,5279.82,13.9,,,,,,
E-2022,IT,Female,29,19/12/2016,3,6,9651.06,8.9,,,,,,
E-2023,Sales,Male,28,03/03/2011,4.93,3,9616.08,14.7,,,,,,
E-2024,Operations,Male,29,24/05/2014,3.96,5,12815.95,11.4,,,,,,
E-2025,Finance,Male,49,25/03/2017,2.12,6,5330.18,8.6,,,,,,
E-2026,Operations,Male,44,23/06/2023,3.75,9,4124.55,2.4,,,,,,
E-2027,Operations,Male,55,22/04/2023,3.06,0,9508.47,2.5,,,,,,
E-2028,Sales,Female,58,25/09/2014,3.34,7,6337.71,11.1,,,,,,
E-2029,HR,Male,22,05/10/2014,2.45,15,14856.75,11.1,,,,,,
E-2030,HR,Female,53,11/09/2022,1.89,11,5288.77,3.1,,,,,,
E-2031,HR,Male,51,20/06/2018,1.75,6,3248.23,7.4,,,,,,
E-2032,HR,Male,59,19/01/2011,1.99,9,10746.28,14.8,,,,,,
E-2033,HR,Female,32,27/12/2021,1.73,7,9091.79,3.8,,,,,,
E-2034,Finance,Female,34,31/05/2010,4.55,13,7963.43,15.4,,,,,,
E-2035,HR,Male,25,15/04/2018,3.77,4,14003.04,7.6,,,,,,
E-2036,IT,Female,36,14/04/2013,2.59,1,10538.04,12.6,,,,,,
E-2037,Sales,Female,34,04/02/2024,4.14,14,12913.35,1.7,,,,,,
E-2038,Operations,Male,34,28/06/2019,1.73,2,11643.01,6.4,,,,,,
E-2039,Finance,Male,55,11/10/2010,3.4,8,5118.41,15.1,,,,,,
E-2040,Marketing,Male,29,16/08/2015,1.6,14,13944.44,10.2,,,,,,
E-2041,HR,Male,33,30/12/2017,2.56,10,11902.39,7.8,,,,,,
E-2042,Sales,Male,32,30/08/2012,4.23,5,6803.88,13.2,,,,,,
E-2043,IT,Male,24,03/06/2024,2.47,2,3891.54,1.4,,,,,,
E-2044,Sales,Male,37,09/06/2016,2.65,2,5255.24,9.4,,,,,,
E-2045,Marketing,Male,45,06/02/2020,4.82,11,3194.13,5.7,,,,,,
E-2046,Finance,Male,55,22/04/2014,2.31,2,8568.06,11.5,,,,,,
E-2047,Sales,Male,50,21/02/2019,1.99,2,6834.68,6.7,,,,,,
E-2048,IT,Female,59,17/01/2023,2.95,7,10187.15,2.8,,,,,,
E-2049,Finance,Male,57,29/06/2016,3.27,13,14469.95,9.3,,,,,,
E-2050,Finance,Male,53,16/10/2019,2.96,3,11966.43,6,,,,,,
E-2051,IT,Male,22,15/11/2017,4.84,10,3631.98,8,,,,,,
E-2052,Operations,Female,51,10/05/2014,2.24,9,13545.85,11.5,,,,,,
E-2053,Operations,Male,49,12/07/2024,1.78,5,14128.24,1.3,,,,,,
E-2054,Sales,Female,42,05/10/2015,3.45,14,10324.4,10.1,,,,,,
E-2055,Operations,Female,27,12/01/2015,3.73,8,7280.89,10.8,,,,,,
E-2056,Finance,Female,57,20/12/2016,2.32,13,13081.41,8.9,,,,,,
E-2057,Sales,Male,38,20/01/2020,4.76,3,3651.84,5.8,,,,,,
E-2058,Marketing,Female,37,23/09/2012,3.71,10,12586.1,13.1,,,,,,
E-2059,Operations,Female,38,20/02/2014,2.25,8,6098.77,11.7,,,,,,
E-2060,IT,Male,26,09/09/2012,3.94,8,11180.45,13.2,,,,,,
E-2061,Operations,Male,45,11/07/2017,3.83,2,7915.52,8.3,,,,,,
E-2062,Operations,Female,26,09/05/2015,1.59,14,14202.8,10.5,,,,,,
E-2063,Marketing,Male,53,01/05/2024,2.95,12,7609.68,1.5,,,,,,
E-2064,HR,Female,60,29/03/2010,2.12,14,6102.13,15.6,,,,,,
E-2065,Finance,Female,38,06/11/2024,4.24,5,10789.2,1,,,,,,
E-2066,HR,Male,27,19/01/2024,3.05,7,13323.12,1.8,,,,,,
E-2067,HR,Male,49,20/10/2021,2.22,9,6112.66,4,,,,,,
E-2068,Finance,Female,36,16/02/2024,3.24,2,3328.06,1.7,,,,,,
E-2069,HR,Female,46,11/10/2013,4.99,8,11667.13,12.1,,,,,,
E-2070,IT,Female,52,01/02/2013,4.44,6,13731.19,12.8,,,,,,
E-2071,HR,Female,25,05/12/2013,2.28,2,6677.31,11.9,,,,,,
E-2072,Operations,Female,22,03/04/2025,1.95,5,12414.29,0.6,,,,,,
E-2073,Finance,Female,57,29/11/2018,3.44,0,7173.42,6.9,,,,,,
E-2074,HR,Male,53,12/02/2013,2.45,8,14708.44,12.7,,,,,,
E-2075,Sales,Female,60,14/07/2014,4.76,14,3973.01,11.3,,,,,,
E-2076,IT,Male,54,06/08/2014,4,10,5952,11.2,,,,,,
E-2077,IT,Female,27,08/10/2012,2.82,6,10926.12,13.1,,,,,,
E-2078,IT,Male,57,08/11/2018,4.98,11,8485.54,7,,,,,,
E-2079,Marketing,Female,25,14/08/2016,4.43,9,6518.1,9.2,,,,,,
